song,artist
When I See You Smile,Bad English
Just My Imagination,The Temptations
Boulevard of Broken Dreams,Green Day
Livin' La Vida Loca,Ricky Martin
You're in Love,Wilson Phillips
Mashed Potato Time,Dee Dee Sharp
Queen of Hearts,Juice Newton
Will to Power,Baby I Love Your Way/Freebird Medley
The Hustle,Van McCoy
Harper Valley P.T.A.,Jeannie C. Riley
Cherish,Kool & the Gang
"Don't Worry, Be Happy",Bobby McFerrin
Lean on Me,Club Nouveau
Forever Your Girl,Paula Abdul
Wishing Well,Terence Trent D'Arby
"Fingertips, Pt. 2",Stevie Wonder
Stutter,Joe Ft. Mystikal
You Are the Sunshine of My Life,Stevie Wonder
I Miss You,Klymaxx
When I Think of You,Janet Jackson
Unpretty,TLC
Stevie Nicks & Tom Petty,Stop Draggin' My Heart Around
Again,Janet Jackson
Father Figure,George Michael
Toy Soldiers,Martika
Girl You Know It's True,Milli Vanilli
"Exhale (Shoop, Shoop)",Whitney Houston
Let's Stay Together,Al Green
Semi-Charmed Life,Third Eye Blind
Make It With You,Bread
Cream,Prince & the New Power Generation
Hello Goodbye,The Beatles
Theme From Shaft,Isaac Hayes
DJ Got Us Fallin' in Love,Usher
Boogie Nights,Heatwave
Up Where We Belong,Joe Cocker & Jennifer Warnes
Friends & Lovers,Gloria Loring & Carl Anderson
Live to Tell,Madonna
Don't Cha,Pussycat Dolls
Lady Marmalade,Labelle
Hit 'em Up Style,Blu Cantrell
Let Your Love Flow,Bellamy Brothers
I Knew You Were Waiting (For Me),Aretha Franklin and George Michael
My Way,Usher
American Woman,The Guess Who
Miss You,The Rolling Stones
You're Sixteen,Ringo Starr
Paul McCartney & Wings,Band on the Run
Hoobastank,The Reason
Sunshine on My Shoulders,John Denver
All My Life,K-Ci & Jojo
Don't Dream It's Over,Crowded House
Where Do Broken Hearts Go,Whitney Houston
You Give Love a Bad Name,Bon Jovi
Say It Isn't So,Daryl Hall & John Oates
Everybody Have Fun Tonight,Wang Chung
Music,Madonna
Baker Street,Gerry Rafferty
Venus,Bananarama
Shut Up and Dance,Walk the Moon
Do You Really Want to Hurt Me,Culture Club
The Stripper,David Rose
A Little More Love,Olivia Newton-John
Soul II Soul,Back to Life
Love to Love You Baby,Donna Summer
Can't Smile Without You,Barry Manilow
M,Pop Muzik
A Thousand Miles,Vanessa Carlton
Handy Man,Jimmy Jones
Sara Smile,Daryl Hall & John Oates
All Around the World,Lisa Stansfield
Take My Breath Away,Berlin
Mrs Robinson,Simon & Garfunkel
Incense and Peppermints,Strawberry Alarm Clock
This Diamond Ring,Gary Lewis and the Playboys
Rude Boy,Rihanna
The Candy Man,"Sammy Davis, Jr."
Mony Mony,Billy Idol
Last Train to Clarksville,The Monkees
Mrs. Brown You've Got a Lovely Daughter,Herman's Hermits
Sensitivity,Ralph Tresvant
Giving You the Best That I Got,Anita Baker
The Reflex,Duran Duran
Everybody Loves Somebody,Dean Martin
The Love You Save,Jackson 5
You Needed Me,Anne Murray
This Love,Maroon 5
Don't Leave Me This Way,Thelma Houston
A Hard Day's Night,The Beatles
Cutting Crew,(I Just) Died in Your Arms
Seasons Change,Exposé
Amanda,Boston
Dancing in the Dark,Bruce Springsteen
Nothin' on You,B.O.B Feat. Bruno Mars
Destiny's Child,Jumpin' Jumpin'
We Can Work It Out,The Beatles
"Hello, I Love You",The Doors
Sexual Healing,Marvin Gaye
Rapture,Blondie
Higher Love,Steve Winwood
Disco Inferno,50 Cent
Steam,Na Na Hey Hey Kiss Him Goodbye
Diamonds,Rihanna
Quarter to Three,Gary U.S. Bonds
What's Luv?,Fat Joe
Got to Give It Up (Part 1),Marvin Gaye
I Don't Wanna Know,Mario Winans
Grillz,"Nelly Ft. Paul Wall, Ali & Gipp"
Memories,Maroon 5
Wooly Bully,Sam the Sham and the Pharoahs
Joyride,Roxette
Kansas City,Wilbert Harrison
Pumped Up Kicks,Foster the People
Lips of an Angel,Hinder
